user,comment
KINGSHUK JANA,"When in minority they wants Human rights, when they came in majority there are no rights. That is sad."
bhargav atluri,Can't find any Muslims or liberals appreciating the trailer in the comments! To busy propogating I guess!
Twisha Chandra,"the so called liberals will never talk about this gory aspect of history, in a country where hindus are a majority pundits were rendered homeless, what can be more despicable"
arun patel,Dislike count indicates how many traitors have watched this trailer.
bhargav atluri,"Where are the liberals and left supremists! Not a single left media channel shared this trailer,but they share only left propogabda and anti Hindu anti national movie trailers!"
Madhukshara,"Finally....finally someone raised this topic, every ""secular"" ignores!"
Mayur Badhe,"Which movie you watch
Like:- shikara
Comment:- chappakk"
Arijit Singh ➊,Is this secularism? Feel the pain of kashmiri hindus😭🙏🏻
Anupama R,I was  litterly  crying  after  seeing  this  trailer.
乙乇ᗪㄖ几Ꮆ爪卂ㄖ,"SATYAMEV JAYATE
Communsits islamist congress tried to supress the truth but its revealing itself 
Thank you internet"
Abhishek Jaiswal,Nafrat Before 60% after watching this 101% 😡😡😡 Aaatthhuuu
INSTANT VIDEO,Literally I'm telling you this trailer touch my heart
khapsha1000,"In minority they want human rights, In majority they want pebliscite. Katuwas are desh drohi"
परशुराम वंशज,जिन लोगों ने कशमीरी पंडितों को मार काट कर उनके घर से निकाल दिया हो आज वही लोग बात करते हैं तो ऐसा लगता है कि कालनेमि भगवान का भजन कर रहा है
Roshani rajpoot,"Rat ke 2:00am baje ke bad Kon Kon dekh raha hai
Hit Like button👍👍👍
👇👇👇"
Chethan Rajendra,I was wondering why it took so long for someone to make a movie on Kashmiri Pandits ? Of course these movies wouldn't have released 6 yrs back.
Rohan Poddar,"Parliament me shor machega meanwhile 
Congress: Well they(kashmiri Pandit) can settle anywhere in india, but Kashmir is for our Muslim vote bank."
Anjali Jha,After so long we are going to see something so tragic
चितरंजन चिट्टी,ऐसी पिक्चर बननी चाहिए और लोगों को सत्य पता होना चाहिए। जय हिंद वंदेमातरम
Prince Priyadarshi,Kashmir k musalman sale maut se ni ye  INDIAN ARMY se darte h
LIFE IS BEAUTIFUL,"Before seeing this trailer, I didn't even know the condition of Kashmiri Pandits there. I can relate some of these in Bangladesh as a Bangladeshi Hindu."
Jack Sparrow,Scrolled comment section for 10 minutes. I'm still searching for a comment from 'peaceful' community.
Jai sahani,Who else finding muslim comments 🤣 ?  Thoko Like 👍🏻
himanshu goyal,India needs modi and shah like true leaders to settle down our kashmiri pandit brothers back to their land. Me along with my frnds always support rss n modi for hindu brotherhood.
Priyesh Pandey,Ye jo hindu secular bn rhe hai....inko sochne ki jrurt hai😡
Pooja Singh,"Who is best?
Shikara = like
Housefull 4 = comment"
Himansh Singh,Will surely go to watch this movie with my whole family!
manav agnihotri,Why here's no comments from ATTWADI SULLAS 😂😂
Indian Soldier Stories,"Kuch Pakistani dislike kiya h Bhnchod 
Note:- Apne Desh me bhi kuch madarchod haii #JNU"
Mugdha Kulkarni,Those 21k who disliked the trailer there humanity has burned away.. May there morals rest in peace 💐💐
Hind Swaraj,"In movie Chaapaak, they showed the name of Acid Attacker as Rajesh but in reality the men who attacked thay girl was Naem Khan... That's what they show in their movies, they never show the true picture."
Riya Rajput,"I am from Jammu and Kashmir and I know that what cruelty was showed towards kashmiri pandits...
And the feeling to lost their home, their place....."
Pinky Singh Granger,"I literally cried when she removed her bindi....
India is secular country bcz majority is Hindu..just think..what if Muslims as majority..NO secularism at all.."
Ritu Bhatt,"And finally someone comes up with a bold move.This story so needed to be told !
Nobody should ever forget their pain but at the same time,this should just remind us of importance of peace and not revenge.
Looking forward to this movie"
Sandeep Fitness Education,Appreciate director who initiate to make this movie even entire cast
Shilpa Rawat,"And they think we forgot !
Karma will get all"
